metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
sap_hana.backup.latest,gauge,,second,,The time elapsed since the latest database backup was completed.,-1,sap_hana,
sap_hana.connection.active,gauge,,connection,,The current number of connections.,0,sap_hana,
sap_hana.connection.idle,gauge,,connection,,The current number of idle connections.,0,sap_hana,
sap_hana.connection.running,gauge,,connection,,The current number of running connections.,0,sap_hana,
sap_hana.disk.size,gauge,,byte,,The total size of the disk in bytes.,0,sap_hana,
sap_hana.disk.usable,gauge,,byte,,The total usable size of the disk in bytes.,1,sap_hana,
sap_hana.disk.used,gauge,,byte,,The total used size of the disk in bytes.,-1,sap_hana,
sap_hana.disk.utilized,gauge,,percent,,The utilization of the disk as a percentage.,-1,sap_hana,
sap_hana.license.expiration,gauge,,second,,The time until license expiration.,1,sap_hana,
sap_hana.license.size,gauge,,gibibyte,,The total size of the license in gibibytes.,0,sap_hana,
sap_hana.license.usable,gauge,,gibibyte,,The total usable size of the license in gibibytes.,1,sap_hana,
sap_hana.license.used,gauge,,gibibyte,,The total used size of the license in gibibytes.,-1,sap_hana,
sap_hana.license.utilized,gauge,,percent,,The utilization of the license as a percentage.,-1,sap_hana,
sap_hana.memory.row_store.total,gauge,,byte,,The total amount of row store memory in bytes.,0,sap_hana,
sap_hana.memory.row_store.usable,gauge,,byte,,The total usable amount of row store memory in bytes.,1,sap_hana,
sap_hana.memory.row_store.used,gauge,,byte,,The total used amount of row store memory in bytes.,-1,sap_hana,
sap_hana.memory.row_store.utilized,gauge,,percent,,The utilization of row store memory as a percentage.,-1,sap_hana,
sap_hana.memory.service.component.used,gauge,,byte,,The total used amount of memory by components in bytes.,-1,sap_hana,
sap_hana.memory.service.compactor.total,gauge,,byte,,The total part of the memory pool that can potentially be freed on memory shortage in bytes.,0,sap_hana,
sap_hana.memory.service.compactor.usable,gauge,,byte,,The total usable part of the memory pool that can potentially be freed on memory shortage in bytes.,1,sap_hana,
sap_hana.memory.service.compactor.used,gauge,,byte,,The total used part of the memory pool that can potentially be freed on memory shortage in bytes.,-1,sap_hana,
sap_hana.memory.service.compactor.utilized,gauge,,percent,,The utilization of the part of the memory pool that can potentially be freed on memory shortage as a percentage.,-1,sap_hana,
sap_hana.memory.service.heap.total,gauge,,byte,,The total amount of heap memory in bytes.,0,sap_hana,
sap_hana.memory.service.heap.usable,gauge,,byte,,The total usable amount of heap memory in bytes.,1,sap_hana,
sap_hana.memory.service.heap.used,gauge,,byte,,The total used amount of heap memory in bytes.,-1,sap_hana,
sap_hana.memory.service.heap.utilized,gauge,,percent,,The utilization of heap memory as a percentage.,-1,sap_hana,
sap_hana.memory.service.overall.physical.total,gauge,,byte,,The total amount of physical RAM in bytes.,0,sap_hana,
sap_hana.memory.service.overall.total,gauge,,byte,,The total amount of memory in bytes.,0,sap_hana,
sap_hana.memory.service.overall.usable,gauge,,byte,,The total usable amount of memory in bytes.,1,sap_hana,
sap_hana.memory.service.overall.used,gauge,,byte,,The total used amount of memory in bytes.,-1,sap_hana,
sap_hana.memory.service.overall.utilized,gauge,,percent,,The utilization of memory as a percentage.,-1,sap_hana,
sap_hana.memory.service.overall.virtual.total,gauge,,byte,,The total amount of virtual RAM in bytes.,0,sap_hana,
sap_hana.memory.service.shared.total,gauge,,byte,,The total amount of shared memory in bytes.,0,sap_hana,
sap_hana.memory.service.shared.usable,gauge,,byte,,The total usable amount of shared memory in bytes.,1,sap_hana,
sap_hana.memory.service.shared.used,gauge,,byte,,The total used amount of shared memory in bytes.,-1,sap_hana,
sap_hana.memory.service.shared.utilized,gauge,,percent,,The utilization of shared memory as a percentage.,-1,sap_hana,
sap_hana.uptime,gauge,,second,,The time elapsed since the master database was started.,1,sap_hana,
